experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,forecast_multiplier,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
ensemble,NBEATS-G,['Generic'],Yearly,1,6,12,2,30,1,True,0,42,13.440792,3.068719,0.797334,24115200,55.67,12,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,12,2,30,1,True,1,43,13.407856,3.047943,0.793712,24115200,81.46,18,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,12,2,30,1,True,2,44,44.738106,11.993030,2.877745,24115200,80.80,18,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,18,3,30,1,True,0,42,13.507265,3.128525,0.806893,24299520,49.75,15,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,18,3,30,1,True,1,43,13.407515,3.093534,0.799438,24299520,57.21,17,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,18,3,30,1,True,2,44,13.348452,3.061097,0.793550,24299520,50.72,15,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,24,4,30,1,True,0,42,45.481758,12.934952,3.019008,24483840,37.10,15,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,24,4,30,1,True,1,43,13.692157,3.214810,0.823406,24483840,44.41,18,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,24,4,30,1,True,2,44,13.534943,3.133102,0.808315,24483840,34.85,14,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,30,5,30,1,True,0,42,13.776615,3.191107,0.823008,24668160,28.86,15,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,30,5,30,1,True,1,43,13.776536,3.216368,0.826183,24668160,27.24,13,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,30,5,30,1,True,2,44,13.601418,3.128566,0.809779,24668160,23.95,12,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,36,6,30,1,True,0,42,13.704727,3.216759,0.824036,24852480,26.14,15,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,36,6,30,1,True,1,43,13.651731,3.186179,0.818567,24852480,22.39,13,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,36,6,30,1,True,2,44,13.494817,3.101569,0.803120,24852480,21.88,13,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,42,7,30,1,True,0,42,13.797762,3.215994,0.826786,25036800,29.69,20,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,42,7,30,1,True,1,43,13.592188,3.135596,0.810381,25036800,28.05,20,False,False,ReLU
ensemble,NBEATS-G,['Generic'],Yearly,1,6,42,7,30,1,True,2,44,13.891755,3.297550,0.839923,25036800,24.34,16,False,False,ReLU
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,12,2,2,3,True,0,42,13.319698,3.031814,0.788986,12850437,43.10,15,False,False,ReLU
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,12,2,2,3,True,1,43,13.583809,3.155802,0.812667,12850437,56.32,20,False,False,ReLU
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,12,2,2,3,True,2,44,13.228801,2.994948,0.781566,12850437,64.54,24,False,False,ReLU
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,18,3,2,3,True,0,42,13.490623,3.088472,0.801344,12876549,29.48,15,False,False,ReLU
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,18,3,2,3,True,1,43,13.622316,3.176315,0.816426,12876549,37.77,19,False,False,ReLU
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,18,3,2,3,True,2,44,13.397837,3.057585,0.794619,12876549,23.32,12,False,False,ReLU
